,Comment,topic_1,topic_2,topic_3,topic_4,topic_5
0,you have book the pcr test klia before arrival,0.0,0.0,0.0,0.0,0.0
1,access good information what investors need progress financially and generally life here good one and grateful,0.0,0.0,0.0,0.0,0.0
2,please include philippines also are super stretch drained and stress away from our family hope you compassionately consider,0.0,0.0,1.0,0.0,0.0
3,omicron mutated times thats making existing vaccines inffective and useless highly contagious several times worst than variant hit singapore the spread will quick unstoppable irresponsible ignore new variants and continue open freely,1.0,0.0,1.0,1.0,0.0
4,they are welcoming omicron into singapore when they screw they will push the blame and punish singaporeans they never apologize resign take responsibility accountability thats dictatorship system,1.0,0.0,0.0,1.0,1.0
5,small one mth omicron sapu all,0.0,0.0,0.0,1.0,0.0
6,more vaccines are being developed and produced just convince people worldwide that these vaccines are effective and are needed protect people against corona virus yet another sly tactic market the vaccines make money,0.0,1.0,0.0,1.0,0.0
7,just open lah foreign country bored foreigners here,0.0,0.0,1.0,0.0,0.0
8,need worry,0.0,0.0,0.0,0.0,0.0
9,upto five hundred more infectious than delta,0.0,0.0,0.0,1.0,0.0
10,singapore welcome omicron would like sincerely welcome you our country here you are exempted from any taxes and are free roam you get what mean hope you enjoy your stay,1.0,1.0,0.0,1.0,0.0
11,singaporeans just can wait welcome the new variant,0.0,0.0,0.0,0.0,1.0
12,just like variant the only means for new variant enter singapore from external only those who has the power can welcome new variant not singaporeans,1.0,0.0,0.0,0.0,1.0
13,too many airport terminals have open border,0.0,0.0,0.0,0.0,0.0
14,when they screwed failed block variant entry they blame and punish pple apologise truly incompetent,0.0,0.0,0.0,0.0,1.0
15,des chan really they supported the system that economy over lives and thus responsible for the virus,0.0,1.0,0.0,0.0,0.0
16,they will come without invitation need welcome,0.0,0.0,0.0,0.0,0.0
17,new covid variant have likely reach singapore will know two three weeks time,1.0,0.0,0.0,1.0,0.0
18,flight from holland yesterday was found have pax who were infected this virus reported five hundred more infectious than delta,0.0,0.0,0.0,1.0,0.0
19,more infectious problem just need five hundred booster shots for lrrr ruler the planet omicron persei eight,0.0,0.0,0.0,1.0,1.0
20,they blamed the karaoke operators for being irresponsible are they not the bigger karaoke operators inviting foreigners without quarantine,0.0,0.0,0.0,0.0,0.0
21,need quarantine lah open and let have some country immunity,0.0,0.0,1.0,0.0,0.0
22,,0.0,0.0,0.0,0.0,0.0
23,everybody travels for different reason out necessity please come party singapore and don forget bring your own version covid nineteen you would your twelve year old johnny walker,1.0,0.0,1.0,1.0,1.0
24,tim you really understand what saying,0.0,0.0,0.0,0.0,0.0
25,boosters here come,0.0,0.0,0.0,0.0,0.0
26,omicron coming malaysia god,1.0,0.0,0.0,1.0,0.0
27,only covid ends the world will normal tis vaccinated travel lane all useless traveling means happiness tis vaccinated travel lane traveling must travel with covid the mind,0.0,1.0,0.0,1.0,0.0
28,the mmtf will safely import the latest newfangled strain from all over the world leading aviation hub,0.0,0.0,0.0,0.0,1.0
29,yes will live with them perfectly normal,0.0,0.0,0.0,0.0,0.0
30,singaporeans have never been consulted with and solely the miw decision these episodes clearly showed citizen life safety and well being are secondary the eyes the miw,0.0,0.0,0.0,0.0,1.0
31,good vent some frustration here have some control this scale challenge,0.0,0.0,0.0,1.0,0.0
32,bochapliao yes you read right living with the virus endemic living,0.0,0.0,0.0,0.0,0.0
33,hoping that singapore should also ban hong kong belgium israel and countries that open south africa top banning,1.0,0.0,1.0,0.0,0.0
34,read carefully what those msm like reuters nov say and this become the basis for all those pharma sponsored authoritarian regime enforce booster dose its citizens,0.0,1.0,0.0,0.0,0.0
35,omicron will arrv sooner than expected source yahoo nov,0.0,0.0,0.0,1.0,1.0
36,and those who want sleep sleep,0.0,0.0,0.0,0.0,0.0
37,fiost yes that would you safe and sound,0.0,0.0,0.0,0.0,0.0
38,lawrence wong said four may two thousand and defending the imports knew that there would leaks from time time know that these risk could happen would you doubt that put the citizens and the nation risk because early april two thousand and singapore sequencing reveals the highly contagious delta covid nineteen variant was already spreading singapore why must they keep importing from higher risk countries,1.0,1.0,0.0,1.0,0.0
39,the fear tactics have end now not open and close borders will never end,0.0,1.0,0.0,0.0,0.0
40,wat safety buses end orchard full safe distance too,0.0,0.0,0.0,0.0,0.0
41,are you groping women,0.0,0.0,0.0,0.0,0.0
42,stop reporting covid surges not really atna really,0.0,0.0,0.0,1.0,0.0
43,fair the virus whack hari raya deepavali and now christmas sure chinese new year also affected,0.0,0.0,0.0,0.0,1.0
44,living with the virus wrong breeding ground for mutants who said,0.0,0.0,0.0,1.0,0.0
45,omicron will test the singapore government whether they learnt anything from delta balek two person dining together,1.0,0.0,0.0,1.0,0.0
47,they just want,0.0,0.0,0.0,0.0,0.0
48,jab jab lol this your new normal you asked for,0.0,0.0,0.0,0.0,0.0
49,fair the stock been going toohigh expected come down anyway just that the corona make the down worse everyone been taking bout the stock coming down soon for while even before the corona mutation news,0.0,0.0,1.0,0.0,0.0
50,this guy going get united states into very serious problem the variant going review how naive,1.0,0.0,1.0,0.0,0.0
51,they just want money,0.0,0.0,0.0,0.0,0.0
52,thats the reason always the word never learnt all,0.0,0.0,0.0,0.0,0.0
53,fiost you and ong kung can sleep one room hor understand the sentence carefully his latest speech then tiok like delta variant then kanciong act lmfao,0.0,0.0,1.0,1.0,0.0
54,rush open borders many countries almost all once risk losing control the situation will definitely increase singapore such small country where going get the resources needed properly manage the situation,1.0,1.0,0.0,0.0,0.0
55,yes the big big risk losing control,0.0,0.0,0.0,0.0,0.0
56,every country will get this virus eventually,0.0,0.0,0.0,0.0,0.0
57,one nine hundred one thousand amongst nine hundred zero travelers its peak just need five days implying one thousand five days based previous peak these episodes clearly showed citizen life safety and well being are secondary the eyes the miw,0.0,0.0,0.0,0.0,1.0
58,not want this happen singapore but they want what can you nothing can right,1.0,0.0,0.0,0.0,0.0
59,the big problem that are snall and overcrowded secondly too many people coming and leaving,0.0,1.0,0.0,0.0,0.0
60,exactly how look each time get malaysia nose poked,1.0,0.0,0.0,0.0,0.0
61,sure there are some ahole will misuse the vaccinated travel lane bypass and spread the virus,0.0,0.0,0.0,0.0,1.0
62,what happen the dislike ytube controll the king peoples action party pore govt,0.0,0.0,1.0,0.0,0.0
63,lim and then what you want them make united states hide for another year you vaccinated you have your mask its your own perogative hide and lower your viral load you still die from covid simply your own immune system that lousy,1.0,0.0,1.0,1.0,0.0
64,new jabs for everyone for every new mutants,0.0,0.0,0.0,0.0,0.0
66,fiost all vaccine makers are currently testing the effectiveness existing vaccines against new mutant might take around two weeks there possibility they might tweak the chemical content current vaccine account for this new variant,0.0,1.0,0.0,1.0,0.0
68,flying horse foul advocating for quarterly booster shots the one one five hundred and super strain appeared magic over thanksgiving holiday plan long ago make new fabricated strains every three six months frighten ppl take more shots,0.0,0.0,0.0,0.0,0.0
69,wow stella really having trouble understanding what you are saying maybe express properly,0.0,0.0,0.0,1.0,0.0
70,bryan wang scam clear,0.0,0.0,0.0,0.0,0.0
71,mark oakley just sent him message and responded thanks lot,0.0,0.0,0.0,0.0,0.0
72,have said and outright risky endemic theory will yet another very costly failure,0.0,0.0,0.0,0.0,0.0
73,new strain africa and african lion urge not use the term african avoid some from misperceiving racist remarks should can the new strain mutant that older strain found india also call south asian right must continue welcome and support ceca,1.0,0.0,0.0,0.0,1.0
74,its only matter time before the new variant gets through vtl,0.0,0.0,0.0,0.0,0.0
75,all the variants travel airlines,0.0,0.0,0.0,0.0,0.0
76,absolutely true and because for alarm every country including china will get live usual and get vaccinated,0.0,0.0,0.0,0.0,1.0
77,hope for once the singapore authorities and medical experts are ahead the curve proactively manage the advent the variant because the vaccine may not work well for one vaccinated travel lane from the united kingdom should modified with some form supervised quarantine this country most exposed travellers from the african continent,1.0,1.0,0.0,0.0,1.0
79,you see pain which dumb doctor came with this torture method test covid,0.0,0.0,0.0,1.0,0.0
81,can not close border forever planes bankrupt people can never travel ever again,0.0,0.0,0.0,0.0,0.0
82,okay let anybody who wants travel travel anyone who scared covid just self quarantine home problem solved,0.0,1.0,0.0,1.0,0.0
